#,Name,Disclosure Date,Rank,Check,Description
"270","post/windows/recon/outbound_ports","","normal","No","Windows Outbound-Filtering Rules"
"271","post/windows/manage/killav","","normal","No","Windows Post Kill Antivirus and Hips"
"272","post/windows/manage/wdigest_caching","","normal","No","Windows Post Manage WDigest Credential Caching"
"273","post/windows/manage/exec_powershell","","normal","No","Windows Powershell Execution Post Module"
"274","post/windows/gather/memory_dump","","normal","No","Windows Process Memory Dump"
"275","post/windows/gather/credentials/pulse_secure","","normal","Yes","Windows Pulse Secure Connect Client Saved Password Extractor"
"276","post/windows/recon/computer_browser_discovery","","normal","No","Windows Recon Computer Browser Discovery"
"277","post/windows/gather/credentials/windows_sam_hivenightmare","2021-07-20","normal","No","Windows SAM secrets leak - HiveNightmare"
"278","post/windows/gather/credentials/securecrt","","normal","No","Windows SecureCRT Session Information Enumeration"
"279","post/windows/wlan/wlan_probe_request","","normal","No","Windows Send Probe Request Packets"
"280","post/windows/gather/credentials/sso","","normal","No","Windows Single Sign On Credential Collector (Mimikatz)"
"281","post/windows/escalate/unmarshal_cmd_exec","2018-08-05","normal","No","Windows unmarshal post exploitation"
"282","post/windows/gather/credentials/xchat","","normal","No","Xchat credential gatherer"
